KA-Nr;Bundesland;Bezirk;Versorgungszone;Versorgungsregion;Bezeichnung;Öffentlichkeitsrecht;Gemeinnützigkeit;Fondszugehörigkeit;Adresse;Telefon, Fax;Homepage;Ärztlicher Leiter;Pflegedienstleiter;Verwaltungsdirektor;Bettenanzahl;Bettenführende Fachrichtungen;Intensivbereiche;Großgeräte;Träger-Nr.;Träger Bezeichnung;Träger-Adresse;Träger Telefon, Fax;Träger Homepage
K114;Burgenland;Neusiedl am See;Ost;Burgenland-Nord;Sonderkrankenanstalt für neurologische Rehabilitation Kittsee;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Spitalgasse 1, 2421 Kittsee;02143/30100-0, 02143/30100-9000;http://senecura-neuroreha.at;Prim. Dr. Berthold Kepplinger;;Günter Niederberger;100;Rehabilitationszentrum (Interne);;;T104;SenaCura neurologisches Rehabilitationszentrum und Gesundheitshotelerrichtungs GmbH;Capistrangasse 5/54, 1060 Wien;01/585 61 59-0, 01/585 10 41-19;http://www.senecura.at
K201;Kärnten;Sankt Veit an der Glan;Süd;Kärnten-Ost;Krankenhaus des Deutschen Ordens Friesach GmbH;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;St. Veiter Straße 12, 9360 Friesach, Kärnten;04268/2691-0, 04268/2691-2103;http://www.krankenhaus-friesach.at;Prim. Dr. Felix Waidmann;DGKS Martina Rabenstein;Dir. MAS Wolfgang Müller;197;AN, CH, GEM, IM, UC;AN;CT, MR;T202;Krankenhaus des deutschen Ordens Friesach Gesellschaft mbH;St. Veiter Straße 12, 9360 Friesach, Kärnten;04268/2691-0, 04268/2691-2103;http://www.krankenhaus-friesach.at
K204;Kärnten;Hermagor;Süd;Kärnten-West;Gailtal-Klinik Hermagor;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Radnigerstraße 12, 9620 Hermagor;04282/2220-0, 04282/2220-70329;http://www.gailtal-klinik.at;Prim. Dr. Manfred Freimüller;MAS Doris Kazianka-diensthuber;Ing. Gebhard Schmied;30;NEU;;;T201;Landeskrankenanstalten-Betriebsgesellschaft - KABEG;Kraßnigstraße 15, 9020 Klagenfurt;0463/55212-0, 0463/55212-25;http://www.kabeg.at
K205;Kärnten;Klagenfurt(Stadt);Süd;Kärnten-Ost;Klinikum - Klagenfurt am Wörthersee (LKH Klagenfurt);mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Feschnigstraße 11, 9020 Klagenfurt;0463/538-0, 0463/538-2027;http://www.lkh-klu.at;Prim. Dr. Hartig Pogatschnigg;Dipl. KHBW Siegfried Ruppnig;Kfm.Dir. Bruno-Roland Peters;1281;AN, AU, CH, DER, GEM, GGH, HNO, IM, KCH, KI, KJP, MKG, NC, NEU, NUK, OR, PCH, PSY, PUL, UC, URO,;AN, IM, KI, NC, NEU;COR, CT, ECT, MR, PET, STR;T201;Landeskrankenanstalten-Betriebsgesellschaft - KABEG;Kraßnigstraße 15, 9020 Klagenfurt;0463/55212-0, 0463/55212-25;http://www.kabeg.at
K206;Kärnten;Klagenfurt(Stadt);Süd;Kärnten-Ost;Krankenhaus der Elisabethinen Klagenfurt GmbH;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Völkermarkter Straße 15-19, 9020 Klagenfurt;0463/5830, 0463/5830-159;http://www.ekh.at;Prim. Dr. Manfred Kuschnig;Dir. MSc Christine Schaller-Maitz;Mag. Dr., MBA Elke Haber;172;CH, GEM, IM, OR;GEM;CT;T203;Krankenhaus der Elisabethinen Klagenfurt Gesellschaft mbH;Völkermarkter Straße 15-19, 9020 Klagenfurt;0463/5830-0, 0463/5830-159;http://www.ekh.at
K207;Kärnten;Klagenfurt(Stadt);Süd;Kärnten-Ost;Unfallkrankenhaus Klagenfurt;ohne Öffentlichkeitsrecht;gemeinnützig;Sonstige;Waidmannsdorfer Straße 35, 9020 Klagenfurt;0463/5890, 0463/5890-9331;http://www.auva.at/ukhklagenfurt;Priv.-Doz. Dr. Vinzenz Smekal;MSc Traude Schmieder;Mag. Wolfgang Petschar;100;UC;;CT, MR;T081;Allgemeine Unfallversicherungsanstalt, Medizinische Direktion;Adalbert-Stifter-Straße 65, 1200 Wien;01/33111;http://www.auva.at
K211;Kärnten;Klagenfurt(Stadt);Süd;Kärnten-Ost;Abteilung für chronische Kranke im Klinikum Klagenfurt am Wörthersee;mit Öffentlichkeitsrecht;gemeinnützig;Sonstige;Feschnigstraße 11, 9020 Klagenfurt;0463/538, 0463/538-22285;http://www.lkh-klu.at;Prim. Dr. Georg Pinter;DI KHBW Sigfried Ruppnig;Bruno-Rudolf Peters;120;Pflegeanstalt chronisch Kranker;;;T201;Landeskrankenanstalten-Betriebsgesellschaft - KABEG;Kraßnigstraße 15, 9020 Klagenfurt;0463/55212-0, 0463/55212-25;http://www.kabeg.at
K212;Kärnten;Klagenfurt(Stadt);Süd;Kärnten-Ost;Privatklinik Maria Hilf Klagenfurt;ohne Öffentlichkeitsrecht;nicht gemeinnützig;PRIKRAF;Radetzkystraße 35, 9020 Klagenfurt;0463/5885-0, 0463/5885-4980;http://www.humanomed.at;Univ. Doz. Dr. Georg Lajtai;BA Roberta Pessentheiner;Mag. Hannes Brandstätter;160;GEM;;;T215;Privatklinik Maria Hilf Gesellschaft mbH Klagenfurt;Radetzkystraße 35, 9020 Klagenfurt;0463/31619-0, 0463/31619-70;http://www.maria-hilf.at
K213;Kärnten;Hermagor;Süd;Kärnten-West;Landeskrankenhaus Laas;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Laas 39, 9640 Kötschach-Mauthen;04715/7701-0, 04715/8636;http://www.lkh-laas.at;Prim. Dr. Johannes Hörmann;Bernhard Rauter;Ing. Gebhard Schmied;85;IM;IM;CT;T201;Landeskrankenanstalten-Betriebsgesellschaft - KABEG;Kraßnigstraße 15, 9020 Klagenfurt;0463/55212-0, 0463/55212-25;http://www.kabeg.at
K214;Kärnten;Sankt Veit an der Glan;Süd;Kärnten-Ost;Krankenhaus der Barmherzigen Brüder St. Veit/Glan;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Spitalgasse 26, 9300 St. Veit an der Glan;04212/499-0, 04212/499-222;http://www.bbstveit.at;Univ.-Prof. Prim. Dr. Jörg Tschmelitsch;Dir. MSc Christine Schaller-Maitz;Mag. MAS Michael Steiner;212;AN, CH, GEM, GGH, IM;AN;CT;T280;Konvent der Barmherzigen Brüder St.Veit, Rechtsvertreter P. Prior Kohler, OH;Spitalgasse 26, 9300 St. Veit an der Glan;04212/499-412, 04212/499-222;http://www.barmherzige-brueder.at
K215;Kärnten;Spittal an der Drau;Süd;Kärnten-West;Krankenhaus Spittal/ Drau;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Billrothstraße 1, 9800 Spittal an der Drau;04762/622-0, 04762/622-444;http://www.khspittal.com;Dr. Gerald Bruckmann;DGKP Robert Hieden;Geschäftsführer Hermann Samonigg;239;AN, CH, GGH, IM, UC;AN;CT, MR;T206;Krankenhaus Spittal/Drau Gesellschaft mbH;Billrothstraße 1, 9800 Spittal an der Drau;04762/622-0, 04762/622-444;http://www.khspittal.com
K216;Kärnten;Villach(Stadt);Süd;Kärnten-West;Landeskrankenhaus Villach;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Nikolaigasse 43, 9500 Villach;04242/208-2222, 04242/208-2112;http://www.lkh-vil.or.at;Dr. Ralph Pernol;MAS Kornelia Fiausch;Mag. Karl Wulz;718;AN, CH, GEM, GGH, IM, KI, NEU, OR, PSY, UC;AN, IM, KI;COR, CT, MR;T201;Landeskrankenanstalten-Betriebsgesellschaft - KABEG;Kraßnigstraße 15, 9020 Klagenfurt;0463/55212-0, 0463/55212-25;http://www.kabeg.at
K217;Kärnten;Villach(Stadt);Süd;Kärnten-West;Abteilung für chronisch Kranke im Landeskrankenhaus Villach;mit Öffentlichkeitsrecht;gemeinnützig;Sonstige;Nikolaigasse 43, 9500 Villach;04242/208-2222, 04242/208-2791-2112;http://www.lkh-vil.or.at;Prim. Dr. Hannes Plank;MAS Kornelia Fiausch;Mag. Karl Wulz;26;Pflegeanstalt chronisch Kranker;;;T201;Landeskrankenanstalten-Betriebsgesellschaft - KABEG;Kraßnigstraße 15, 9020 Klagenfurt;0463/55212-0, 0463/55212-25;http://www.kabeg.at
K218;Kärnten;Feldkirchen;Süd;Kärnten-Ost;Krankenhaus Waiern;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Martin-Luther-Straße 14, 9560 Feldkirchen in Kärnten;04276/2201, 04276/2201-399;http://www.diakonie-kaernten.at/de-84.cms;Dr. Richard Gaugeler;DGKP Marko Buttazoni;Mag. Walter Pansi;62;IM;;;T204;Diakonie de La Tour  gem. BetriebsgesmbH;Harbacher Straße 70, 9020 Klagenfurt;04276/2201, 04276/2201-399;http://www.diakonie-kaernten.at
K219;Kärnten;Wolfsberg;Süd;Kärnten-Ost;Landeskrankenhaus Wolfsberg;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Paul Hackhoferstraße 9, 9400 Wolfsberg, Kärnten;04352/533-0, 04352/533-166;http://www.lkh-wo.at;Prim. Dr. Silvia Zenkl;Claudia Obersteiner;Mag. Margit Schratter;286;AN, CH, GGH, IM, UC;AN, IM;CT, MR;T201;Landeskrankenanstalten-Betriebsgesellschaft - KABEG;Kraßnigstraße 15, 9020 Klagenfurt;0463/55212-0, 0463/55212-25;http://www.kabeg.at
K220;Kärnten;Wolfsberg;Süd;Kärnten-Ost;Abteilung für chronische Kranke und Zentrum für Lymphologie im Landeskrankenhaus Wolfsberg;mit Öffentlichkeitsrecht;gemeinnützig;Sonstige;Paul Hackhoferstraße 9, 9400 Wolfsberg, Kärnten;04352/533-0, 04352/533-166;http://www.lkh-wo.at;Prim. Dr. Walter Döller;Claudia Obersteiner;Mag. Margit Schratter;90;Pflegeanstalt chronisch Kranker, Rehabilitationszentrum (Interne);;;T201;Landeskrankenanstalten-Betriebsgesellschaft - KABEG;Kraßnigstraße 15, 9020 Klagenfurt;0463/55212-0, 0463/55212-25;http://www.kabeg.at
K222;Kärnten;Villach Land;Süd;Kärnten-West;Sonderkrankenanstalt de La Tour;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;De la Tour Straße 28, 9521 Treffen bei Villach;04248/2557-0, 04248/2557-49;http://www.diakonie-kaernten.at/de-86.cms;Prim. Dr. Renate Clemens-Marinschek;Theolinde Petschniker;Mag. Walter Pansi;54;PSY;;;T204;Diakonie de La Tour  gem. BetriebsgesmbH;Harbacher Straße 70, 9020 Klagenfurt;04276/2201, 04276/2201-399;http://www.diakonie-kaernten.at
K223;Kärnten;Villach(Stadt);Süd;Kärnten-West;Privatklinik Villach;ohne Öffentlichkeitsrecht;nicht gemeinnützig;PRIKRAF;Dr. Walter Hochsteiner-Straße 4, 9504 Villach-Warmbad Villach;04242/3044-0, 04242/3044-157;http://www.privatklinik-villach.at;Dr. Bruno Pramsohler;Gertrude Rumbold;Prok. Willibald Rakuschek;152;GEM;;CT, ECT, MR;T212;Privatklinik Gesellschaft mbH Villach;Jesserniggstraße 9, 9020 Klagenfurt;04242/3044-0, 04242/3044-157;http://www.privatklinik-villach.at
K224;Kärnten;Sankt Veit an der Glan;Süd;Kärnten-Ost;Sonderkrankenanstalt zur Rehabilitation bei Erkrankung des Bewegungs- und Stützapparates;ohne Öffentlichkeitsrecht;nicht gemeinnützig;PRIKRAF;Moorweg 30, 9330 Treibach-Althofen;04262/2071-0, 04262/2071-501;http://www.humanomed.at/privatklinik-althofen/;Prim. Dr. Henry Puff;BA Roberta Pessentheiner;Dir. Heinz Linder;160;Rehabilitationszentrum (Interne);;;T211;Humanomed Zentrum Alhofen Gesellschaft mbH;Moorweg 30, 9330 Treibach-Althofen;04262/2071-0, 04262/2071-501;http://www.kurbad-althofen.at
K225;Kärnten;Spittal an der Drau;Süd;Kärnten-West;Sonderkrankenanstalt 'Die Schrothkur' Obervellach;ohne Öffentlichkeitsrecht;nicht gemeinnützig;PRIKRAF;Johann-Schroth-Weg 137, 9821 Obervellach;04782/2043, 04782/2043-14;http://www.schrothkur.at;Dr. Rainer Ziebart-Schroth;Dr. Rainer Ziebart-schroth;Dr. Rainer Ziebart-Schroth;28;IM;;;T213;Die Schrothkur GMBH;Johann-Schroth-Weg 137, 9821 Obervellach;04782/2043, 04782/2043-14;http://www.schrothkur.at
K226;Kärnten;Hermagor;Süd;;Abteilung für chronisch Kranke im Landeskrankenhaus Laas;mit Öffentlichkeitsrecht;gemeinnützig;Sonstige;Laas 39, 9640 Kötschach-Mauthen;04715/7701-704, 04715/8636;http://www.lkh-laas.at;OA Dr. Ingrid Lederer-Grollitsch;Bernhard Rauter;Ing. Gebhard Schmied;50;Pflegeanstalt chronisch Kranker;;;T201;Landeskrankenanstalten-Betriebsgesellschaft - KABEG;Kraßnigstraße 15, 9020 Klagenfurt;0463/55212-0, 0463/55212-25;http://www.kabeg.at
K229;Kärnten;Klagenfurt(Stadt);Süd;Kärnten-Ost;Rehabilitationsklinik für seelische Gesundheit und Prävention;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Grete-Bittner-Straße 40, 9020 Klagenfurt;0463/43 00 07, 0463/43 00 08;http://www.seelischereha.com;Prim. Dr.  Thomas Platz;DGKS Andrea Piller;Mag. Natascha Wiednig;95;PSY;;;T281;Rehabilitationsklinik für seelische Gesundheit und Prävention Gesellschaft mbH;Grete-Bittner-Straße 40, 9020 Klagenfurt;0463/55 112, 0463/501 256;http://promente-kaernten.at
K230;Kärnten;Villach(Stadt);Süd;Kärnten-West;Sonderkrankenanstalt - Rehabilitation - Thermenhof;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Kumpfallee 93, 9504 Villach-Warmbad Villach;04242/34060-0, 04242/34060-888;http://www.med-warmbad.at;Univ.-Doz. Prim. Dr. Johannes Kirchheimer;PDL Margareta Ulz-bieler;DI Oskar Seidler;238;OR;;;T282;Kurzentrum Thermal-Heilbad Warmbad-Villach Gesellschaft mbH & CoKG;Kadischen Allee 26, 9504 Villach-Warmbad Villach;04242/3001-0;http://www.med-warmbad.at
K231;Kärnten;Sankt Veit an der Glan;Süd;Kärnten-Ost;Sonderkrankenanstalt für Herzrehabilitation;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Moorweg 30, 9330 Treibach-Althofen;04262/2071-0, 04262/2071-501;http://www.kurbad-althofen.at;Dr. Josef Sykora;B.A. Roberta Pessentheiner;Heinz Linder;95;Rehabilitationszentrum (Interne);;;T211;Humanomed Zentrum Alhofen Gesellschaft mbH;Moorweg 30, 9330 Treibach-Althofen;04262/2071-0, 04262/2071-501;http://www.kurbad-althofen.at
K232;Kärnten;Hermagor;Süd;Kärnten-West;KABEG Gailtalklinik;mit Öffentlichkeitsrecht;gemeinnützig;Sonstige;Radingerstraße 12, 9620 Hermagor;04282/2220-0, 04282/2220-320;http://www.gailtal-klinik.at;Prim. Dr. Manfred Manfred Freimüller;MAS Doris Kazianka-diensthuber;Ing. Gebhard Schmied;110;NEU;;;T201;Landeskrankenanstalten-Betriebsgesellschaft - KABEG;Kraßnigstraße 15, 9020 Klagenfurt;0463/55212-0, 0463/55212-25;http://www.kabeg.at
K233;Kärnten;Sankt Veit an der Glan;Süd;Kärnten-Ost;Sonderkrankenanstalt und Gesundheitsresort Agathenhof;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Agathenhofstraße 24, 9322 Micheldorf, Kärnten;04268/50170-0, 04268/50170-100;http://interface.gesundheit-pflege.at/betriebe.html;Doz. Mag. pharm. Dr. med. Christian Anderwald;Mag. (FH) Georg Schlamminger;DDr. Stephan Wagner;54;IM;;;T283;Gesundheitsresort Agathenhof Gesellschaft mbH;Sterneckstraße 33, 5020 Salzburg;;http://interface.gesundheit-pflege.at/betriebe.html
K235;Kärnten;Sankt Veit an der Glan;Süd;Kärnten-Ost;Sonderkrankenanstalt für onkologische Rehabilitation;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Moorweg 30, 9330 Treibach-Althofen;04262/2071-0, 04262/2071-501;http://www.humanomed.at;Prim. Univ. Prof. Dr. Wolfgang SPERL Dietmar Geissler;;Heinz Linder;40;Rehabilitationszentrum (Interne);;;T211;Humanomed Zentrum Alhofen Gesellschaft mbH;Moorweg 30, 9330 Treibach-Althofen;04262/2071-0, 04262/2071-501;http://www.kurbad-althofen.at
K236;Kärnten;Sankt Veit an der Glan;Süd;Kärnten-Ost;Sonderkrankenanstalt für Stoffwechselrehabilitation;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Moorweg 30, 9330 Treibach-Althofen;04262/2071-0, 04262/2071-501;http://www.humanomed.at;Prim. Dr. Harald Oschmautz;;Heinz Linder;20;Rehabilitationszentrum (Interne);;;T211;Humanomed Zentrum Alhofen Gesellschaft mbH;Moorweg 30, 9330 Treibach-Althofen;04262/2071-0, 04262/2071-501;http://www.kurbad-althofen.at
K303;Niederösterreich;Amstetten;Ost;Mostviertel;Landesklinikum Amstetten;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Krankenhausstraße 21, 3300 Amstetten, Niederösterreich;07472/604-00, 07472/604-2009;http://www.amstetten.lknoe.at;Prim. Dr. Christian Meznik;DGKS Renate Sommer;Dipl. KHBW Gernot Artmüller;341;AN, CH, GEM, GGH, IM, KI, NEU, OR, UC;AN, GEM, IM, KI;CT, MR;T301;Amt der Niederösterreichischen Landesregierung, Abteilung Sanitäts- und Krankenanstaltenrecht;Landhausplatz 1, 3109 St. Pölten;02742/9005, 02742/9005-12932;http://www.noel.gv.at
K305;Niederösterreich;Baden;Ost;Industrieviertel;Klinikum am Kurpark Baden für Orthopädie und Rheumatologie;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Renngasse 2, 2500 Baden bei Wien;02252/432 85-0, 02252/432 85-2100;;Dr. Christian Wiederer;DGKS Sylvia Draxler;Dipl. KHBW Johann Metzinger;124;Rehabilitationszentrum (Interne);;;T345;KBB-Klinikum Besitz- und Betriebsgesellschaft mbH;Schottengasse 4/32, 1010 Wien;;
K307;Niederösterreich;Wiener Neustadt(Land);Ost;Industrieviertel;Sonderkrankenanstalt Bad Schönau;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Am Kurpark 1, 2853 Bad Schönau;02646/8251-0, 02646/8251-725;http://www.koenigsberg-bad-schoenau.at;Prim. Dr. Hanspeter Stilling;;ppa Heidemarie Schwarz;k.A.;;;;T351;Gesundheitsresort Königsberg Gesellschaft mbH;Am Kurpark 1, 2853 Bad Schönau;02646/8251-0, 02646/8251-725;http://www.koenigsberg-bad.schoenau.at
K313;Niederösterreich;Wiener Neustadt(Land);Ost;Industrieviertel;SKA-RZ-Pensionsversicherungsanstalt Felbring im Schneebergland;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Felbring 71, 2723 Muthmannsdorf;02638/882 81-0, 02638/882 81-56;http://www.ska-felbring.at;Prim. Dr. Christiane Marko;Johannes Hochleuthner;Ing. Bernhard Winkler;122;Rehabilitationszentrum (Interne);;;T090;Pensionsversicherungsanstalt Wien;Friedrich-Hillegeist-Straße 1, 1021 Wien Postfach;01/050303, 01/050303-288 50;http://www.pensionsversicherung.at
K315;Niederösterreich;Neunkirchen;Ost;Industrieviertel;Landesklinikum Hochegg;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Hocheggerstraße 88, 2840 Grimmenstein;02644/6300-0, 02644/6300-49208;http://www.hochegg.lknoe.at;Univ.-Prof. Prim. Dr.  Peter Schnider;Akad. Sozialmanagerin DGKS, MBA Christa Grosz;Dipl. KHBW Ferdinand Zecha;170;NEU, PUL;PUL;CT;T301;Amt der Niederösterreichischen Landesregierung, Abteilung Sanitäts- und Krankenanstaltenrecht;Landhausplatz 1, 3109 St. Pölten;02742/9005, 02742/9005-12932;http://www.noel.gv.at
K316;Niederösterreich;Bruck an der Leitha;Ost;Industrieviertel;Landesklinikum Hainburg;mit Öffentlichkeitsrecht;gemeinnützig;Landesfonds;Hofmeisterstraße 70, 2410 Hainburg an der Donau;02165/90501-203, 02165/90501-213;http://www.hainburg.lknoe.at;Prim.Dr. Lukas Koppensteiner;DGKS Johanna Pilat;Dipl. KHBW Wolfgang Palatinus;152;CH, GEM, GGH, IM;GEM;CT;T301;Amt der Niederösterreichischen Landesregierung, Abteilung Sanitäts- und Krankenanstaltenrecht;Landhausplatz 1, 3109 St. Pölten;02742/9005, 02742/9005-12932;http://www.noel.gv.at
K317;Niederösterreich;Mödling;Ost;Industrieviertel;SOS-Kinderdorf, Heilpädagogisch-Therapeutisches Zentrum Bienenhaus;ohne Öffentlichkeitsrecht;nicht gemeinnützig;Sonstige;Kröpfelsteigstraße 42, 2371 Hinterbrühl;02236/266 38, 02236/266 38-14;http://www.bienenhaus.org;Prim. Dr. Werner Leixnering;Mag. Ulrich Sommer;Mag. Ulrich Sommer;18;KI;;;T332;SOS Kinderdorf;Stafflerstraße 10a, 6020 Innsbruck;0512/5918-0, 0512/580001;http://www.sos-kinderdorf.at
