HospitalID,categoryGER,categoryAUT,Department,beds,doctorsgeneral,doctorsspecial,nurses,numberofstays,averagestayduration,address
215,166,UC,"Unfallchirurgie",40,16,9,19,3405,3.92,"Billrothstraße 1, 9800 Spittal an der Drau"
219,NaN,,"All",241,NaN,NaN,NaN,NaN,NaN,"Paul Hackhoferstraße 9, 9400 Wolfsberg, Kärnten"
219,930,AN,"Abteilung für Anästhesiologie und allg. Intensivmedizin",6,15,11,26,392,3.6,"Paul Hackhoferstraße 9, 9400 Wolfsberg, Kärnten"
219,169,CH,"Abteilung für Chirurgie",35,13,9,29,2660,3.6,"Paul Hackhoferstraße 9, 9400 Wolfsberg, Kärnten"
219,199,GGH,"Abteilung für Gynäkologie und Geburtshilfe",15,8,6,13,1159,3.1,"Paul Hackhoferstraße 9, 9400 Wolfsberg, Kärnten"
219,166,UC,"Abteilung für Unfallchirurgie",38,15,8,38,2008,4.9,"Paul Hackhoferstraße 9, 9400 Wolfsberg, Kärnten"
219,340,AG/R,"Akutgeriatrie/Remobilisation (Interne)",45,7,2,25,680,21,"Paul Hackhoferstraße 9, 9400 Wolfsberg, Kärnten"
219,339,IN IM,"Intensivbetreuung (Interne)",5,NaN,NaN,18,608,2.3,"Paul Hackhoferstraße 9, 9400 Wolfsberg, Kärnten"
219,339,IM,"Lymphklinik - Akutbereich",10,6,2,10,527,5.2,"Paul Hackhoferstraße 9, 9400 Wolfsberg, Kärnten"
219,339,IM,"Medizinische Abteilung",87,19,11,73,5423,4.5,"Paul Hackhoferstraße 9, 9400 Wolfsberg, Kärnten"
207,NaN,,"All",100,NaN,NaN,NaN,NaN,NaN,"Waidmannsdorfer Straße 35, 9020 Klagenfurt"
207,166,UC,"Unfallchirurgie - allgemein",100,34,24,124,4564,6.1,"Waidmannsdorfer Straße 35, 9020 Klagenfurt"
204,NaN,,"All",152,NaN,NaN,NaN,NaN,NaN,"Radnigerstraße 12, 9620 Hermagor"
204,570,NEU,"Neurologische Rehabilitation",152,18,11,99,1504,36.2,"Radnigerstraße 12, 9620 Hermagor"
218,NaN,,"All",62,NaN,NaN,NaN,NaN,NaN,"Martin-Luther-Straße 14, 9560 Feldkirchen in Kärnten"
218,340,AG/R,"Akutgeriatrie/Remobilisation (Interne)",20,6,2,12,349,18.32,"Martin-Luther-Straße 14, 9560 Feldkirchen in Kärnten"
218,339,IM,"Innere Medizin",22,6,1,12,1017,6.48,"Martin-Luther-Straße 14, 9560 Feldkirchen in Kärnten"
218,829,PSO,"Psychosomatik (Interne)",20,3,2,11,330,24.03,"Martin-Luther-Straße 14, 9560 Feldkirchen in Kärnten"
212,930,GEM,"All",160,NaN,NaN,NaN,NaN,NaN,"Radetzkystraße 35, 9020 Klagenfurt"
223,930,GEM,"All",152,NaN,NaN,NaN,NaN,NaN,"Dr. Walter Hochsteiner-Straße 4, 9504 Villach-Warmbad Villach"
225,930,GEM,"All",53,NaN,NaN,NaN,NaN,NaN,"Johann-Schroth-Weg 137, 9821 Obervellach"
222,NaN,,"All",56,NaN,NaN,NaN,NaN,NaN,"De la Tour Straße 28, 9521 Treffen bei Villach"
222,821,,"Psychiatrisches SKH für Abhängigkeitserkrankungen",56,8,4,12,420,56,"De la Tour Straße 28, 9521 Treffen bei Villach"
315,NaN,,"All",181,NaN,NaN,NaN,NaN,NaN,"Hocheggerstraße 88, 2840 Grimmenstein"
315,332,PUL,"Pulmologie",69,NaN,NaN,NaN,2694,6.66,"Hocheggerstraße 88, 2840 Grimmenstein"
315,332,IN PUL,"Intensivbetreuung - Pulmologie",6,NaN,NaN,NaN,293,5.58,"Hocheggerstraße 88, 2840 Grimmenstein"
315,570,NEU,"Neurologische Abteilung",86,NaN,NaN,NaN,1471,15.79,"Hocheggerstraße 88, 2840 Grimmenstein"
315,930,PAL,"Palliativbereich",6,NaN,NaN,NaN,81,19.19,"Hocheggerstraße 88, 2840 Grimmenstein"
315,570,NEU,"Schlaflabor",8,NaN,NaN,NaN,1902,1,"Hocheggerstraße 88, 2840 Grimmenstein"
315,570,NEU,"Wachkoma",6,NaN,NaN,NaN,44,35.52,"Hocheggerstraße 88, 2840 Grimmenstein"
377,NaN,,"All",370,NaN,NaN,NaN,NaN,NaN,""
377,930,AN,"Anästhesiologie und Intensivmedizin - Horn",9,22,18,34,390,6.14,"Spitalgasse 10, 3580 Horn"
377,930,GEM,"Aufnahmestation interdisziplinär - Horn",11,4,0,19,1556,0.62,"Spitalgasse 10, 3580 Horn"
377,120,AU,"Augenheilkunde - Horn incl. Tagesklinik",26,13,8,12,5049,0.27,"Spitalgasse 10, 3580 Horn"
377,169,CH,"Chirurgie - Horn",53,20,12,32,3133,429,"Spitalgasse 10, 3580 Horn"
377,199,GGH,"Frauenheilkunde und Geb.Hilfe - Horn",30,12,8,19,1575,3.15,"Spitalgasse 10, 3580 Horn"
377,339,IM,"Innere Medizin - Horn",74,28,14,41,3713,6.41,"Spitalgasse 10, 3580 Horn"
377,570,NEU,"Neuro-Rehab Stufe C - Allensteig",66,8,3,51,921,25.12,"Bahnhofstraße 35, 3804 Allentsteig"
377,570,NEU,"Neurologie - Horn",34,14,8,25,1843,4.93,"Spitalgasse 10, 3580 Horn"
377,166,UC,"Unfallchirurgie - Horn",67,23,14,40,2913,6.29,"Spitalgasse 10, 3580 Horn"
384,NaN,,"All",100,NaN,NaN,NaN,NaN,NaN,"Grafenbergerstraße 2, 3730 Eggenburg"
384,830,PSO,"Psychosomatik",100,14,6,33,878,57,"Grafenbergerstraße 2, 3730 Eggenburg"
357,NaN,,"All",145,NaN,NaN,NaN,NaN,NaN,"Persenbeuger Straße 1-2, 3370 Ybbs an der Donau"
357,829,PSY,"Psychiatrische Abteilung",145,19,10,122,1078,44,"Persenbeuger Straße 1-2, 3370 Ybbs an der Donau"
417,NaN,,"All",337,NaN,NaN,NaN,NaN,NaN,"Seilerstätte 2, 4020 Linz, Donau"
417,340,AG/R,"Akutgeriatrie",24,3,1,NaN,466,19.63,"Seilerstätte 2, 4020 Linz, Donau"
417,930,AN,"Anästhesiologie und Intensivmedizin",6,1,1,44,672,2.5,"Seilerstätte 2, 4020 Linz, Donau"
417,120,AU,"Augenabteilung",34,26,17,NaN,14066,0.24,"Seilerstätte 2, 4020 Linz, Donau"
417,169,CH,"Chirurgie",70,21,12,NaN,3303,6.4,"Seilerstätte 2, 4020 Linz, Donau"
417,199,GGH,"Geburtshilfe und Frauenheilkunde",33,23,12,NaN,3323,2.69,"Seilerstätte 2, 4020 Linz, Donau"
417,339,IM,"Interne",80,29,13,NaN,4921,4.78,"Seilerstätte 2, 4020 Linz, Donau"
417,339,IN IM,"Interne Intensiv",8,3,1,26,845,2.6,"Seilerstätte 2, 4020 Linz, Donau"
417,570,NEU,"Neurologie",66,25,9,NaN,2950,5.68,"Seilerstätte 2, 4020 Linz, Donau"
417,570,NEU,"Neurologische Rehabilitation",4,1,1,7,260,5.4,"Seilerstätte 2, 4020 Linz, Donau"
417,120,AU,"Sehschule - Institut für Orthoptik",6,8,4,NaN,670,0.08,"Seilerstätte 2, 4020 Linz, Donau"
417,570,SU,"Stroke Unit",6,1,1,6,765,2.2,"Seilerstätte 2, 4020 Linz, Donau"
419,NaN,,"All",460,NaN,NaN,NaN,NaN,NaN,"Fadingerstraße 1, 4020 Linz, Donau"
419,329,IM,"Abteilung für Nieren- und Hochdruckerkrankungen, Transplantationsmedizin (Interne III)",40,15,7,23,1515,7.9,"Fadingerstraße 1, 4020 Linz, Donau"
419,349,AG/R,"Akutgeriatrie/Remobilisation (Department)",24,5,4,14,628,13.6,"Fadingerstraße 1, 4020 Linz, Donau"
419,169,CH,"Chirurgie",76,25,13,52,4481,4.3,"Fadingerstraße 1, 4020 Linz, Donau"
419,250,DER,"Dermatologie",42,14,7,25,2509,5.9,"Fadingerstraße 1, 4020 Linz, Donau"
419,316,IM,"Gastroenterologie - Hepatologie - Stoffwechsel - Ernährung - Endokrinologie (Interne IV)",40,18,10,22,2472,5.3,"Fadingerstraße 1, 4020 Linz, Donau"
419,930,AN,"Institut für Anästhesiologie und Intensivmedizin",10,21,17,34,867,3.2,"Fadingerstraße 1, 4020 Linz, Donau"
419,930,IN IM,"Intensivbetreuung (Interne)",19,13,8,33,985,2.9,"Fadingerstraße 1, 4020 Linz, Donau"
419,323,IM,"Kardiologie (Interne II)",74,21,14,48,5931,4.2,"Fadingerstraße 1, 4020 Linz, Donau"
419,339,IM,"Knochenmarktransplantation (Interne)",7,14,11,30,65,20.5,"Fadingerstraße 1, 4020 Linz, Donau"
419,319,IM,"Onkologie (Interne I)",43,22,12,40,5539,3.17,"Fadingerstraße 1, 4020 Linz, Donau"
419,930,PAL,"Palliativ medizinische Einrichtung",8,4,3,17,204,11.5,"Fadingerstraße 1, 4020 Linz, Donau"
419,332,PUL,"Pneumologie inkl. RCU",50,11,5,38,4116,4.1,"Fadingerstraße 1, 4020 Linz, Donau"
419,900,URO,"Urologie",28,10,5,19,2369,3.9,"Fadingerstraße 1, 4020 Linz, Donau"
441,NaN,,"All",202,NaN,NaN,NaN,NaN,NaN,"Krankenhausstraße 1, 4150 Rohrbach in Oberösterreich"
441,930,AN,"Anästhesie und Intensivmedizin (interdisziplinär)",6,9,6,34,410,3.62,"Krankenhausstraße 1, 4150 Rohrbach in Oberösterreich"
441,169,CH,"Chirurgische Station",34,9,8,18,2110,3.56,"Krankenhausstraße 1, 4150 Rohrbach in Oberösterreich"
441,340,AG/R,"Department für Akutgeriatrie und Remobilisation",20,4,2,21,375,17.81,"Krankenhausstraße 1, 4150 Rohrbach in Oberösterreich"
441,196,GGH,"Geburtshilfe und Kreisszimmer",10,NaN,NaN,3,652,4.3,"Krankenhausstraße 1, 4150 Rohrbach in Oberösterreich"
441,193,GGH,"Gynäkologie und Tagesklinik",10,10,5,11,650,2.16,"Krankenhausstraße 1, 4150 Rohrbach in Oberösterreich"
441,339,IM,"Innere Medizin (Interne 1)",37,12,8,21,2002,4.17,"Krankenhausstraße 1, 4150 Rohrbach in Oberösterreich"
441,339,IM,"Innere Medizin (Interne 2)",38,12,8,23,2301,3.75,"Krankenhausstraße 1, 4150 Rohrbach in Oberösterreich"
441,369,KI,"Kinder- und Jugendheilkunde",9,3,2,13,1120,2.43,"Krankenhausstraße 1, 4150 Rohrbach in Oberösterreich"
441,930,PAL,"Palliativ",3,4,2,NaN,120,9.19,"Krankenhausstraße 1, 4150 Rohrbach in Oberösterreich"
441,220,TK HNO,"Tagesklinik HNO",1,NaN,NaN,NaN,120,0.25,"Krankenhausstraße 1, 4150 Rohrbach in Oberösterreich"
441,166,UC,"Unfallchirurgische Station",34,12,7,20,2430,4.21,"Krankenhausstraße 1, 4150 Rohrbach in Oberösterreich"
405,NaN,,"All",386,NaN,NaN,NaN,NaN,NaN,"Ringstraße 60, 5280 Braunau am Inn"
405,930,AN,"Anästhesiologie, operative Intensivmedizin und Schmerztherapie",6,18,15,15,152,10.02,"Ringstraße 60, 5280 Braunau am Inn"
405,169,CH,"Chirurgie",48,16,6,28,2786,3.54,"Ringstraße 60, 5280 Braunau am Inn"
405,220,HNO,"Fachschwerpunkt für Hals-Nasen-Ohrenheilkunde",8,8,4,3,1066,2.2,"Ringstraße 60, 5280 Braunau am Inn"
405,199,GGH,"Gynäkologie und Geburtshilfe",29,18,9,32,2236,3.17,"Ringstraße 60, 5280 Braunau am Inn"
405,339,IM,"Innere Medizin 1",61,19,12,96,3707,4.7,"Ringstraße 60, 5280 Braunau am Inn"
405,339,IM,"Innere Medizin 2",58,20,10,73,4957,3.06,"Ringstraße 60, 5280 Braunau am Inn"
405,339,IN IM,"Intensivbetreuung (Interne)",6,19,12,19,322,5.46,"Ringstraße 60, 5280 Braunau am Inn"
405,369,KI,"Kinder- und Jugendheilkunde",17,17,7,38,2085,1.69,"Ringstraße 60, 5280 Braunau am Inn"
405,369,KI,"Kinder-Intensivbetreuung (Kinderheilkunde)",4,17,7,38,498,4.07,"Ringstraße 60, 5280 Braunau am Inn"
405,829,PSY,"Klinik für Psychische Gesundheit - allgemein",62,18,9,63,1435,14.23,"Ringstraße 60, 5280 Braunau am Inn"
405,699,OR,"Orthopädie und Traumatologie",62,20,11,50,4140,4.63,"Ringstraße 60, 5280 Braunau am Inn"
405,930,PAL,"Palliativmedizinische Einrichtung",4,1,1,2,141,8.99,"Ringstraße 60, 5280 Braunau am Inn"
405,829,TK PSY,"Tagesklinik (Psychiatrie)",16,18,9,63,3315,0,"Ringstraße 60, 5280 Braunau am Inn"
405,120,TK AU,"Tagesklinik für Augenheilkunde",4,10,8,12,2840,0,"Ringstraße 60, 5280 Braunau am Inn"
434,NaN,,"All",1227,NaN,NaN,NaN,NaN,NaN,""
434,163,IM,"Abteilung f. Herz-, Gefäß- u. Thoraxchirurgie - Standort Wels",50,14,7,42,1700,7.3,"Grieskirchner Straße 42, 4600 Wels"
434,120,AU,"Abteilung für Augenheilkunde und Optometrie - Wels",25,19,12,32,10700,0.3,"Grieskirchner Straße 42, 4600 Wels"
434,169,CH,"Abteilung für Chirurgie II - Standort Grieskirchen",15,24,14,9,1100,1.6,"Wagnleithner Straße 27, 4710 Grieskirchen"
434,169,CH,"Abteilung für Chirurgie II - Standort Wels",68,29,17,44,3300,5,"Grieskirchner Straße 42, 4600 Wels"
434,199,GGH,"Abteilung für Frauenheilkunde und Geburtshilfe - Standort Grieskirchen",20,33,14,16,1200,2.9,"Wagnleithner Straße 27, 4710 Grieskirchen"
434,199,GGH,"Abteilung für Frauenheilkunde und Geburtshilfe - Standort Wels",61,33,14,61,5100,3,"Grieskirchner Straße 42, 4600 Wels"
434,220,HNO,"Abteilung für Hals-, Nasen- und Ohrenkrankheiten - Wels",30,16,9,19,3000,3,"Grieskirchner Straße 42, 4600 Wels"
434,250,DER,"Abteilung für Haut- und Geschlechtskrankheiten - Wels",30,14,6,31,3100,2.6,"Grieskirchner Straße 42, 4600 Wels"
434,339,IM,"Abteilung für Innere Medizin I, Gastroenterologie und Hepatologie, Rheumatologie, Endokrinologie und Stoffwechselerkrankungen - Wels",88,23,11,61,5400,4.3,"Grieskirchner Straße 42, 4600 Wels"
434,323,IM,"Abteilung für Innere Medizin II, Kardiologie inkl. Interne Intensiv und inkl. Interne Überwachung - Wels",94,24,10,83,7900,3.5,"Grieskirchner Straße 42, 4600 Wels"
434,319,IM,"Abteilung für Innere Medizin IV, Hämatologie und internistische Onkologie, Nephrologie - Wels",93,31,13,91,8700,2.6,"Grieskirchner Straße 42, 4600 Wels"
434,339,IM,"Abteilung für Innere Medizin V - Standort Grieskirchen",74,23,7,41,4500,4.2,"Wagnleithner Straße 27, 4710 Grieskirchen"
434,369,KI,"Abteilung für Kinder- und Jugendheilkunde - Standort Wels",29,32,15,35,3800,1.5,"Grieskirchner Straße 42, 4600 Wels"
434,369,KI,"Abteilung für Kinder-und Jugendheilkunde -Standort Grieskirchen inkl. Kinderpsychosomotik",17,32,15,19,600,5.8,"Wagnleithner Straße 27, 4710 Grieskirchen"
434,332,PUL,"Abteilung für Lungenkrankheiten inkl. RCU inkl. Schlaflabor- Wels",68,15,5,42,4900,3.8,"Grieskirchner Straße 42, 4600 Wels"
434,570,NEU,"Abteilung für Neurologie inkl. Stroke unit und inkl. NeuroAkutNachsorge - Wels",50,20,10,31,3500,4.5,"Grieskirchner Straße 42, 4600 Wels"
434,699,OR,"Abteilung für Orthopädie und orthopädische Chirurgie - Wels",86,20,12,37,4200,5.5,"Grieskirchner Straße 42, 4600 Wels"
434,829,PSY,"Abteilung für Psychiatrie und psychotherapeutische Medizin - Wels",76,17,8,53,1900,11.6,"Grieskirchner Straße 42, 4600 Wels"
434,166,UC,"Abteilung für Unfallchirurgie - Standort Wels",72,37,27,84,5100,4,"Grieskirchner Straße 42, 4600 Wels"
434,900,URO,"Abteilung für Urologie - Wels",30,15,9,30,3100,4,"Grieskirchner Straße 42, 4600 Wels"
434,340,AG/R,"Akutgeriatrie und Remobilisation - Standort Grieskirchen (im Rahmen der Abteilung Innere Medizin V)",65,23,7,44,1100,19.6,"Wagnleithner Straße 27, 4710 Grieskirchen"
434,830,PSO,"Departement für Erwachsenen-Psychosomatik - Standort Grieskirchen",12,3,2,6,200,11.4,"Wagnleithner Straße 27, 4710 Grieskirchen"
434,166,UC,"Department für Unfallchirurgie - Standort Grieskirchen",22,37,27,13,1600,2.9,"Wagnleithner Straße 27, 4710 Grieskirchen"
434,510,ZMK,"Fachschwerpunkt für Mund-, Kiefer- und Gesichtschirurgie - Wels",8,10,5,6,900,2.6,"Grieskirchner Straße 42, 4600 Wels"
434,930,AN,"Institut für Anästhesiologie und Intensivmedizin I - Standort Grieskirchen",4,47,33,10,400,2.3,"Wagnleithner Straße 27, 4710 Grieskirchen"
434,930,AN,"Institut für Anästhesiologie und Intensivmedizin I - Wels",9,47,33,80,700,3.4,"Grieskirchner Straße 42, 4600 Wels"
434,930,AN,"Institut für Anästhesiologie und Intensivmedizin II - Wels",7,23,16,39,800,2.5,"Grieskirchner Straße 42, 4600 Wels"
434,366,KI,"Neonatologie und Pädiatrische Intensivmedizin (Kinder)- Wels",14,29,13,45,420,10,"Grieskirchner Straße 42, 4600 Wels"
434,930,PAL,"Palliativmedizin - Wels",10,31,13,16,500,5.5,"Grieskirchner Straße 42, 4600 Wels"
427,NaN,,"All",425,NaN,NaN,NaN,NaN,NaN,"Schloßberg 1, 4910 Ried im Innkreis"
427,570,NEU,"Akut-Nachbehandlung von neurologischen Patienten",4,NaN,NaN,17,176,8.2,"Schloßberg 1, 4910 Ried im Innkreis"
427,340,AG/R,"Akutgeriatrie/Remobilisation",20,2,NaN,17,320,17.8,"Schloßberg 1, 4910 Ried im Innkreis"
427,930,IN,"Anästhesiologie und Intensivmedizin",7,24,19,30,546,3.8,"Schloßberg 1, 4910 Ried im Innkreis"
427,120,AU,"Augenheilkunde",14,12,7,5,4301,0.6,"Schloßberg 1, 4910 Ried im Innkreis"
427,169,CH,"Chirurgie",58,17,11,38,3686,4.9,"Schloßberg 1, 4910 Ried im Innkreis"
427,199,GGH,"Frauenheilkunde und Geburtshilfe",31,15,8,24,2326,4.1,"Schloßberg 1, 4910 Ried im Innkreis"
427,220,HNO,"Hals-, Nasen- und Ohrenheilkunde",18,10,6,7,1552,5.1,"Schloßberg 1, 4910 Ried im Innkreis"
427,339,IM,"Innere Medizin I",74,19,11,72,7273,4.8,"Schloßberg 1, 4910 Ried im Innkreis"
427,323,IM,"Innere Medizin II (Kardiologie)",22,12,7,22,NaN,NaN,"Schloßberg 1, 4910 Ried im Innkreis"
427,339,IN IM,"Intensivbetreuung (Interne)",6,NaN,NaN,23,666,2.6,"Schloßberg 1, 4910 Ried im Innkreis"
427,570,IN NEU,"Intensivbetreuung (Neurologie)",4,NaN,NaN,16,586,2.3,"Schloßberg 1, 4910 Ried im Innkreis"
427,369,KI,"Kinderheilkunde und Neonatologie",20,12,8,28,2365,2.7,"Schloßberg 1, 4910 Ried im Innkreis"
427,366,KI,"Neonatologie, Risikokinderbetreuung",3,NaN,NaN,7,154,6.1,"Schloßberg 1, 4910 Ried im Innkreis"
427,570,NEU,"Neurologie - allgemein",42,17,9,34,2264,5.4,"Schloßberg 1, 4910 Ried im Innkreis"
427,699,OR,"Orthopädie und orthopädische Chirurgie - allgemein",42,14,7,27,2461,4.6,"Schloßberg 1, 4910 Ried im Innkreis"
427,930,PAL,"Palliativ medizinische Einrichtung",10,6,4,14,223,10.7,"Schloßberg 1, 4910 Ried im Innkreis"
427,166,UC,"Unfallchirurgie",30,10,7,27,2801,4.4,"Schloßberg 1, 4910 Ried im Innkreis"
427,900,URO,"Urologie",22,11,6,29,2248,4.3,"Schloßberg 1, 4910 Ried im Innkreis"
429,NaN,,"All",90,NaN,NaN,NaN,NaN,NaN,"Neustraße 14, 4522 Sierning"
429,340,AG/R,"Akutgeriatrie/Remobilisation (Interne)",90,16,7,55,1936,17.04,"Neustraße 14, 4522 Sierning"
418,NaN,,"All",672,NaN,NaN,NaN,NaN,NaN,"Seilerstätte 4, 4020 Linz, Donau"
418,340,AG/R,"Akutgeriatrie und Remobilisation",24,4,1,18,479,18,"Seilerstätte 4, 4020 Linz, Donau"
418,169,IM,"Allgemein- und Viszeralchirurgie",113,29,12,70,6806,4,"Seilerstätte 4, 4020 Linz, Donau"
418,193,GGH,"Gynäkologie",32,14,8,26,3297,3,"Seilerstätte 4, 4020 Linz, Donau"
418,220,HNO,"HNO, Kopf- und Halschirurgie",54,22,12,52,4090,4,"Seilerstätte 4, 4020 Linz, Donau"
418,319,IM,"Interne I: Internistische Onkologie, Hämatologie und Gastroenterologie",92,34,13,78,9018,3,"Seilerstätte 4, 4020 Linz, Donau"
418,323,IM,"Interne II: Kardiologie",92,26,7,90,6069,4,"Seilerstätte 4, 4020 Linz, Donau"
418,339,IN IM,"Interne Intensivstation (Interne II)",7,2,2,25,392,4,"Seilerstätte 4, 4020 Linz, Donau"
418,369,KI,"Kinder- und Jugendheilkunde",24,14,6,25,2973,2,"Seilerstätte 4, 4020 Linz, Donau"
418,369,KI,"Kinder-Säuglingsstation (Kinder- und Jugendheilkunde)",10,5,3,23,1152,3,"Seilerstätte 4, 4020 Linz, Donau"
418,369,KI,"Kinderurologie",6,7,6,8,884,2,"Seilerstätte 4, 4020 Linz, Donau"
418,366,KI,"Neonatologie, Risikokinderbetreuung (Kinder- und Jugendheilkunde)",6,3,2,14,231,6,"Seilerstätte 4, 4020 Linz, Donau"
418,930,AN,"Operative Intensivstation (Anästhesie)",10,4,4,35,774,3,"Seilerstätte 4, 4020 Linz, Donau"
418,930,GEM,"Operative Tagesklinik",5,0,0,2,794,0,"Seilerstätte 4, 4020 Linz, Donau"
418,699,OR,"Orthopädie",68,21,9,64,3143,6,"Seilerstätte 4, 4020 Linz, Donau"
418,930,PAL,"Palliativstation St. Louise",10,5,1,18,292,10,"Seilerstätte 4, 4020 Linz, Donau"
418,800,PCH,"Plastische, Ästhetische und Rekonstruktive Chirurgie",27,15,8,25,2274,2,"Seilerstätte 4, 4020 Linz, Donau"
418,870,STR/RAD,"Radio-Onkologie / Strahlentherapie",36,28,11,37,2959,4,"Seilerstätte 4, 4020 Linz, Donau"
418,900,URO,"Urologie",55,20,12,33,6795,3,"Seilerstätte 4, 4020 Linz, Donau"
420,NaN,,"All",153,NaN,NaN,NaN,NaN,NaN,"Garnisonstraße 7, 4021 Linz, Donau Postfach"
420,166,UC,"Unfallchirurgie",153,64,46,225,6315,6.6,"Garnisonstraße 7, 4021 Linz, Donau Postfach"
527,NaN,,"All",235,NaN,NaN,NaN,NaN,NaN,"Kajetanerplatz 1, 5010 Salzburg"
527,169,CH,"Chirurgie",65,NaN,NaN,NaN,NaN,NaN,"Kajetanerplatz 1, 5010 Salzburg"
527,193,GGH,"Gynäkologie",17,NaN,NaN,NaN,NaN,NaN,"Kajetanerplatz 1, 5010 Salzburg"
527,930,AN,"Intensivbetreuung (Anästhesie)",6,19,NaN,NaN,NaN,NaN,"Kajetanerplatz 1, 5010 Salzburg"
527,339,IN IM,"Intensivbetreuung (Interne)",4,NaN,NaN,NaN,NaN,NaN,"Kajetanerplatz 1, 5010 Salzburg"
527,339,IM,"Interne",105,NaN,NaN,NaN,NaN,NaN,"Kajetanerplatz 1, 5010 Salzburg"
527,800,PCH,"Plastische, Rekonstruktive und Ästhetische Chirurgie",24,NaN,NaN,NaN,NaN,NaN,"Kajetanerplatz 1, 5010 Salzburg"
527,900,URO,"Urologie",14,NaN,NaN,NaN,NaN,NaN,"Kajetanerplatz 1, 5010 Salzburg"
554,NaN,,"All",111,NaN,NaN,NaN,NaN,NaN,"Paraselsusstraße 37a, 5110 Oberndorf bei Salzburg"
554,699,OR,"Abteilung für Orthopädie und orthopädische Chirurgie",30,NaN,NaN,NaN,NaN,NaN,"Paraselsusstraße 37a, 5110 Oberndorf bei Salzburg"
554,340,AG/R,"Akutgeriatrie / Remobilisation",16,NaN,NaN,NaN,NaN,NaN,"Paraselsusstraße 37a, 5110 Oberndorf bei Salzburg"
554,930,AN,"Anästhesie und Intensivstation",6,NaN,NaN,NaN,NaN,NaN,"Paraselsusstraße 37a, 5110 Oberndorf bei Salzburg"
554,169,CH,"Chirurgische Abteilung",30,NaN,NaN,NaN,NaN,NaN,"Paraselsusstraße 37a, 5110 Oberndorf bei Salzburg"
554,339,IM,"Innere Medizin",30,NaN,NaN,NaN,NaN,NaN,"Paraselsusstraße 37a, 5110 Oberndorf bei Salzburg"
535,NaN,,"All",139,NaN,NaN,NaN,NaN,NaN,"Bahnhofstraße 7, 5580 Tamsweg"
535,340,AG/R,"Akutgeriatrie/Remobilisation (Interne)",10,2,1,11,189,14,"Bahnhofstraße 7, 5580 Tamsweg"
